AÑO,MES,PROVINCIA_DESTINO,CONTINENTE_ORIGEN,PAIS_ORIGEN,TURISTAS,PERNOCTACIONES,ESTANCIA_MEDIA.
2022,5,Sevilla,América,Argentina,376,3722,9.9
2022,5,Tarragona,América,Argentina,199,1632,8.2
2022,5,Toledo,América,Argentina,68,340,5
2022,5,Total Nacional,América,Argentina,26229,192094,7.3
2022,5,Valencia/València,América,Argentina,798,8539,10.7
2022,5,Valladolid,América,Argentina,32,390,12.2
2022,5,Zaragoza,América,Argentina,74,755,10.2
2022,6,A Coruña,América,Argentina,236,2195,9.3
2022,6,Alicante/Alacant,América,Argentina,647,7052,10.9
2022,6,Almería,América,Argentina,97,815,8.4
2022,6,Asturias,América,Argentina,113,1209,10.7
2022,6,Badajoz,América,Argentina,34,262,7.7
2022,6,Barcelona,América,Argentina,6640,48472,7.3
2022,6,Bizkaia,América,Argentina,212,2014,9.5
2022,6,Burgos,América,Argentina,33,191,5.8
2022,6,Cantabria,América,Argentina,90,882,9.8
2022,6,Castellón/Castelló,América,Argentina,83,722,8.7
2022,6,Cáceres,América,Argentina,37,289,7.8
2022,6,Cádiz,América,Argentina,210,2079,9.9
2022,6,Córdoba,América,Argentina,47,291,6.2
2022,6,Gipuzkoa,América,Argentina,259,2435,9.4
2022,6,Girona,América,Argentina,530,3922,7.4
2022,6,Granada,América,Argentina,217,1758,8.1
2022,6,Guadalajara,América,Argentina,37,204,5.5
2022,6,Huelva,América,Argentina,40,384,9.6
2022,6,Illes Balears,América,Argentina,3269,30729,9.4
2022,6,La Rioja,América,Argentina,32,320,10
2022,6,Las Palmas,América,Argentina,179,1522,8.5
2022,6,León,América,Argentina,32,294,9.2
2022,6,Lleida,América,Argentina,64,454,7.1
2022,6,Lugo,América,Argentina,46,373,8.1
2022,6,Madrid,América,Argentina,13447,87406,6.5
2022,6,Murcia,América,Argentina,73,679,9.3
2022,6,Málaga,América,Argentina,1517,18356,12.1
2022,6,Navarra,América,Argentina,106,986,9.3
2022,6,Pontevedra,América,Argentina,223,2542,11.4
2022,6,Salamanca,América,Argentina,60,570,9.5
2022,6,Santa Cruz de Tenerife,América,Argentina,162,1345,8.3
2022,6,Sevilla,América,Argentina,260,2678,10.3
2022,6,Tarragona,América,Argentina,304,2523,8.3
2022,6,Toledo,América,Argentina,87,479,5.5
2022,6,Total Nacional,América,Argentina,30579,236730,7.7
2022,6,Valencia/València,América,Argentina,846,8122,9.6
2022,6,Zaragoza,América,Argentina,79,664,8.4
2022,7,A Coruña,América,Argentina,320,3520,11
2022,7,Alicante/Alacant,América,Argentina,852,9031,10.6
2022,7,Almería,América,Argentina,119,1226,10.3
2022,7,Araba/Álava,América,Argentina,34,245,7.2
2022,7,Asturias,América,Argentina,173,1868,10.8
2022,7,Badajoz,América,Argentina,36,223,6.2
2022,7,Barcelona,América,Argentina,7521,56408,7.5
2022,7,Bizkaia,América,Argentina,144,1224,8.5
2022,7,Burgos,América,Argentina,41,295,7.2
2022,7,Cantabria,América,Argentina,89,952,10.7
2022,7,Castellón/Castelló,América,Argentina,136,1333,9.8
2022,7,Cádiz,América,Argentina,254,2667,10.5
2022,7,Córdoba,América,Argentina,40,328,8.2
2022,7,Gipuzkoa,América,Argentina,286,2259,7.9
2022,7,Girona,América,Argentina,656,5576,8.5
2022,7,Granada,América,Argentina,207,1760,8.5
2022,7,Guadalajara,América,Argentina,52,291,5.6
2022,7,Huelva,América,Argentina,41,484,11.8
2022,7,Huesca,América,Argentina,34,279,8.2
2022,7,Illes Balears,América,Argentina,5146,48887,9.5
2022,7,La Rioja,América,Argentina,38,346,9.1
2022,7,Las Palmas,América,Argentina,215,2021,9.4
